# PROCEDURAL OBJECT GENERATION INFO

TARMAC_REALLYFUCKED		veg_pflowers01		5.0	0.0	0	359	5.0	5.0	1.7	1.7	-14.9	-14.9	0	1
GRASS_SHORT_LUSH		veg_pflowers01		5.0	0.0	0	359	5.0	5.0	1.7	1.7	-14.9	-14.9	0	1
P_GRASSWEEDS		veg_pflowers01		5.0	0.0	0	359	5.0	5.0	1.7	1.7	-14.9	-14.9	0	1
STEEP_SLIDYGRASS		veg_pflowers01		5.0	0.0	0	359	5.0	5.0	1.7	1.7	-14.9	-14.9	0	1
GRASS_MEDIUM_LUSH		veg_pflowers01		5.0	0.0	0	359	5.0	5.0	1.7	1.7	-14.9	-14.9	0	1
GRASS_LONG_LUSH		veg_pflowers01		5.0	0.0	0	359	5.0	5.0	1.7	1.7	-14.9	-14.9	0	1
GRASS_SHORT_DRY		veg_pflowers01		5.0	0.0	0	359	5.0	5.0	1.7	1.7	-14.9	-14.9	0	1
GRASS_MEDIUM_DRY		veg_pflowers01		5.0	0.0	0	359	5.0	5.0	1.7	1.7	-14.9	-14.9	0	1
GRASS_LONG_DRY		veg_pflowers01		5.0	0.0	0	359	5.0	5.0	1.7	1.7	-14.9	-14.9	0	1
WOODLANDGROUND		veg_pflowers01		5.0	0.0	0	359	5.0	5.0	1.7	1.7	-14.9	-14.9	0	1
P_GRASSMID1		veg_pflowers01		5.0	0.0	0	359	5.0	5.0	1.7	1.7	-14.9	-14.9	0	1
P_GRASSMID2		veg_pflowers01		5.0	0.0	0	359	5.0	5.0	1.7	1.7	-14.9	-14.9	0	1
P_BUSHYMIX		veg_pflowers01		5.0	0.0	0	359	5.0	5.0	1.7	1.7	-14.9	-14.9	0	1

P_BUSHYDRY		veg_pflowers01		5.0	0.0	0	359	5.0	5.0	1.7	1.7	-14.9	-14.9	0	1
P_GRASSLIGHTER2		veg_pflowers01		5.0	0.0	0	359	5.0	5.0	1.7	1.7	-14.9	-14.9	0	1
