//NDRACHAN
//////////// EXTRASUNNY_LA
//Amb			Amb_Obj			Dir			Sky top			Sky bot			SunCore			SunCorona			SunSz			SprSz			SprBght			Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1			RGB1			Alpha2			RGB2		CloudAlpha
//Midnight
65 70 85 			255 255 255 			255 255 255 			80 75 80 			41 41 80 			0 0 0 		 0 0 0 			0.0 			3.0 			0.9 			200 			255 			0 			400.00			100.00			1.00			0 0 0 			200 110 110 			30 255 255 70 			30 			100 140 190 			30 			80 130 255 			200 			173 			255 0.5
//5AM
36 36 36 			100 100 100 			255 255 255 			122 144 199 			183 164 143 			200 100 45 			255 171 0 			85.0 			2.0 			0.9 			255 			255 			255 			400.00			100.00			1.00			0 0 0 			219 153 142 			30 255 255 0 			30 			150 150 150 			30 			255 255 255 			255 			0 			255 0.5
//6AM
36 36 36 			100 100 100 			255 255 255 			 122 144 199			183 164 143 			255 140 255 			216 152 43 			85.0 			2.0 			0.9 			255 			255 			255 			800.00			100.00			0.80			0 0 0 			255 255 255 			145 255 255 10 			30 			255 200 255 			30 			255 255 255 			200 			166 			142 0.2
//7AM
30 30 30 			110 100 100 			255 255 255 			180 170 170 			243 189 150 			255 255 255 			255 128 65 			85.0 			1.5 			0.9 			255 			255 			255 			800.00			100.00			0.50			0 0 0 			255 255 255 			70 255 255 10 			25 			51 157 255 			30 			255 240 255 			200 			166 			142 0.2
//Midday
34 32 34 			143 143 140 			255 255 255 			91 144 188 			204 214 234 			255 255 48 			254 103 0 			85.0 			1.0 			0.9 			255 			255 			255 			800.00			10.00			0.00			1 1 1 			255 255 255 			80 150 150 44 			50 			150 150 135 			80 			255 255 255 			255 			255 			255 0.2
//7PM
30 30 30 			140 140 140 			255 255 255 			209 173 180 			243 192 107 			255 114 23 			217 94 93 			85.0 			1.5 			0.9 			255 			255 			255 			800.00			10.00			0.80			1 1 1 			236 236 236 			57 127 135 130 			25 			51 157 255 			30 			255 240 255 			0 			166 			142 0.2
//8PM
44 44 46 			255 255 255 			255 255 255 			31 2 51 			45 19 113 			205 147 74 			205 147 74 			0.0 			2.0 			0.9 			255 			255 			255 			800.00			10.00			1.00			1 1 1 			213 151 129 			100 143 190 130 			30 			100 118 255 			31 			131 141 142 			0 			255 			255 0.2
//10PM
55 63 87 			255 255 255 			255 255 255 			23 19 60 			35 46 76 			0 0 0 			0 0 0 			0.0 			2.0 			0.9 			255 			100 			0 			600.00			10.00			1.00			1 1 1 			102 117 128 			100 143 190 130 			27 			100 114 255 			31 			236 251 254 			0 			0 			255 0.2
//
//////////// SUNNY_LA
//Amb			Amb_Obj			Dir			Sky top			Sky bot			SunCore			SunCorona			SunSz			SprSz			SprBght			Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1			RGB1			Alpha2			RGB2		CloudAlpha
//Midnight
65 70 85 			255 255 255 			255 255 255 			80 75 80 			41 41 80 			0 0 0 		 0 0 0 			0.0 			3.0 			0.9 			200 			255 			0 			400.00			100.00			1.00			0 0 0 			200 110 110 			30 255 255 70 			30 			100 140 190 			30 			80 130 255 			200 			173 			255 0.5
//5AM
36 36 36 			100 100 100 			255 255 255 			122 144 199 			183 164 143 			200 100 45 			255 171 0 			85.0 			2.0 			0.9 			255 			255 			255 			400.00			100.00			1.00			0 0 0 			219 153 142 			30 255 255 0 			30 			150 150 150 			30 			255 255 255 			255 			0 			255 0.5
//6AM
36 36 36 			100 100 100 			255 255 255 			 122 144 199			183 164 143 			255 140 255 			216 152 43 			85.0 			2.0 			0.9 			255 			255 			255 			800.00			100.00			0.80			0 0 0 			255 255 255 			145 255 255 10 			30 			255 200 255 			30 			255 255 255 			200 			166 			142 0.2
//7AM
30 30 30 			110 100 100 			255 255 255 			180 170 170 			243 189 150 			255 255 255 			255 128 65 			85.0 			1.5 			0.9 			255 			255 			255 			800.00			100.00			0.50			0 0 0 			255 255 255 			70 255 255 10 			25 			51 157 255 			30 			255 240 255 			200 			166 			142 0.2
//Midday
34 32 34 			143 143 140 			255 255 255 			91 144 188 			204 214 234 			255 255 48 			254 103 0 			85.0 			1.0 			0.9 			255 			255 			255 			800.00			10.00			0.00			1 1 1 			255 255 255 			80 150 150 44 			50 			150 150 135 			80 			255 255 255 			255 			255 			255 0.2
//7PM
30 30 30 			140 140 140 			255 255 255 			209 173 180 			243 192 107 			255 114 23 			217 94 93 			85.0 			1.5 			0.9 			255 			255 			255 			800.00			10.00			0.80			1 1 1 			236 236 236 			57 127 135 130 			25 			51 157 255 			30 			255 240 255 			0 			166 			142 0.2
//8PM
44 44 46 			255 255 255 			255 255 255 			31 2 51 			45 19 113 			205 147 74 			205 147 74 			0.0 			2.0 			0.9 			255 			255 			255 			800.00			10.00			1.00			1 1 1 			213 151 129 			100 143 190 130 			30 			100 118 255 			31 			131 141 142 			0 			255 			255 0.2
//10PM
